TITLE,AUTHOR,DATE_READ,RATING
The Chilly Penguin,,4/8/2019,
Olivia and the missing toy,,4/14/2019,
Chicken Chuck,,4/14/2019,
Listen to our world,,4/14/2019,
Dragon is coming!,,4/14/2019,
Wink : the ninja who wanted to nap,,4/14/2019,
"One moon, two cats",,4/14/2019,
Pizza day,,4/14/2019,
What does Bunny see? : a book of colors and flowers,,4/14/2019,
Chloe,,4/24/2019,
Olivia goes to Venice,,4/24/2019,
Olivia and the fairy princesses,,4/24/2019,
The duck who played the kazoo,,4/24/2019,
Grandpa Green,,4/24/2019,
"Bad dog, Flash",,4/24/2019,
I love you like,,4/24/2019,
"Splish, splash, Splat!",,4/24/2019,
Splat the Cat,,4/24/2019,
That fruit is mine!,,5/3/2019,
This is not my hat,,5/3/2019,
Spunky little monkey,,5/3/2019,
"Polar bear, polar bear, what do you hear?",,5/3/2019,
Listen to our world,,5/3/2019,
Hoo Hoo Who?,,5/3/2019,
"What are you doing, Benny?",,5/3/2019,
"Grow up, David!",,5/3/2019,
The silence slips in,,5/3/2019,
Baby colors,,5/3/2019,
I'll hug you more,,5/14/2019,
Monster needs your vote,,5/14/2019,
"Me tall, you small",,5/14/2019,
Parachute,,5/14/2019,
The happy hippopotami,,5/14/2019,
Scaredy squirrel makes a friend,,5/14/2019,
Can you make a scary face?,,5/14/2019,
Foxy and Egg : a book,,5/14/2019,
Harriet gets carried away,,5/14/2019,
Penguinaut!,,6/3/2019,
Puddle,,6/3/2019,
This is my room! : (no tigers allowed),,6/3/2019,
Rock what ya got,,6/3/2019,
This book just ate my dog!,,6/3/2019,
Olive & Pekoe : in four short walks,,6/3/2019,
Leyla,,6/3/2019,
A song for bear,,6/3/2019,
Hotel fantastic,,6/3/2019,
Winter is here,,6/3/2019,
"Who flies, cat the cat?",,6/3/2019,
Fish wish,,6/3/2019,
